unit,landuse,geo\time	2015 	2012 	2009 
CVA,LUA,AT	1.2 	1.2 	1.1 
CVA,LUA,AT1	1.6 	1.7 	1.8 
CVA,LUA,AT11	3.9 	4.3 	4.5 
CVA,LUA,AT12	1.8 	1.8 	1.9 
CVA,LUA,AT13	27.1 	26.3 	31.4 
CVA,LUA,AT2	2.8 	2.8 	2.6 
CVA,LUA,AT21	4.9 	4.8 	4.3 
CVA,LUA,AT22	3.4 	3.4 	3.3 
CVA,LUA,AT3	2.2 	2.2 	1.6 
CVA,LUA,AT31	2.6 	2.6 	2.6 
CVA,LUA,AT32	5.4 	5.2 	3.9 
CVA,LUA,AT33	5.5 	5.6 	3 
CVA,LUA,AT34	8.2 	8.9 	6 
CVA,LUA,BE	1.5 	1.5 	1.5 
CVA,LUA,BE1	0 	: 	: 
CVA,LUA,BE10	0 	: 	: 
CVA,LUA,BE2	2.1 	2.1 	2.2 
CVA,LUA,BE21	5.7 	5.8 	5.7 
CVA,LUA,BE22	5.7 	5.7 	6.8 
CVA,LUA,BE23	4.3 	4.4 	4.1 
CVA,LUA,BE24	5.7 	5.6 	6.1 
CVA,LUA,BE25	3.3 	3.2 	3.4 
CVA,LUA,BE3	2.1 	2 	2.1 
CVA,LUA,BE31	7.3 	6.4 	7.2 
CVA,LUA,BE32	3.4 	3.3 	3.6 
CVA,LUA,BE33	4.8 	4.7 	4.7 
CVA,LUA,BE34	5.1 	4.7 	4.9 
CVA,LUA,BE35	4.5 	4.1 	4.1 
CVA,LUA,BG	0.9 	0.9 	: 
CVA,LUA,BG3	1 	0.9 	: 
CVA,LUA,BG31	1.9 	1.7 	: 
CVA,LUA,BG32	1.9 	1.8 	: 
CVA,LUA,BG33	1.8 	1.8 	: 
CVA,LUA,BG34	2.1 	2 	: 
CVA,LUA,BG4	2.1 	2 	: 
CVA,LUA,BG41	3.7 	3.4 	: 
CVA,LUA,BG42	2.5 	2.3 	: 
CVA,LUA,CY	2.9 	2.5 	: 
CVA,LUA,CY0	2.9 	2.5 	: 
CVA,LUA,CY00	2.9 	2.5 	: 
CVA,LUA,CZ	0.9 	0.9 	0.9 
CVA,LUA,CZ0	0.9 	0.9 	0.9 
CVA,LUA,CZ01	21.1 	20.2 	19.7 
